Player,Pos,Squad,Age,Min,,,,
Robin Krauße,MF,Braunschweig,29.14794521,1791,29,795,2.178082192,31.17808219
Kevin Kraus,DF,Kaiserslautern,30.78630137,2151,30,863,2.364383562,32.36438356
Luka Krajnc,DF,Hannover 96,28.68219178,1496,28,219,0.6,28.6
Elija Krahn,MF,Hamburger SV,19.75342466,88,19,342,0.936986301,19.9369863
Julian Krahl,GK,Kaiserslautern,23.33972603,90,23,973,2.665753425,25.66575342
Dawid Kownacki,FW,Düsseldorf,26.2,2513,26,6.2,0.016986301,26.0169863
Tim Köther,MF,Heidenheim,22.25479452,6,22,479,1.312328767,23.31232877
Louis Köster,MF,Hansa Rostock,20.33150685,12,20,151,0.41369863,20.41369863
Julian Korb,MF,Holstein Kiel,31.18082192,670,31,082,0.224657534,31.22465753
Pascal Köpke,FW,Nürnberg,27.7260274,41,27,603,1.652054795,28.65205479
Ransford Königsdörffer,FW,Hamburger SV,21.69863014,1462,21,863,2.364383562,23.36438356
Marco Komenda,DF,Holstein Kiel,26.49589041,783,26,589,1.61369863,27.61369863
Markus Kolke,GK,Hansa Rostock,32.76986301,2970,32,986,2.701369863,34.70136986
Medin Kojić,MF,Paderborn 07,17.46027397,7,17,027,0.073972603,17.0739726
Derrick Köhn,MF,Hannover 96,24.30410959,2866,24,411,1.126027397,25.1260274
Christoph Kobald,DF,Karlsruher,25.76986301,1329,25,986,2.701369863,27.70136986
Lukas Klünter,DF,Arminia,27,1801,27,27,0.073972603,27.0739726
Fabian Klos,FW,Arminia,35.47945205,1584,35,945,2.589041096,37.5890411
René Klingenburg,MF,Kaiserslautern,29.40547945,1,29,548,1.501369863,30.50136986
Mateo Klimowicz,MF,Arminia,22.88767123,120,22,767,2.101369863,24.10136986
Philipp Klement,MF,Kaiserslautern,30.70958904,1546,30,959,2.62739726,32.62739726
Tim Kleindienst,FW,Heidenheim,27.73424658,2741,27,425,1.164383562,28.16438356
Kai Klefisch,MF,Paderborn 07,23.47671233,917,23,671,1.838356164,24.83835616
Felix Klaus,MF,Düsseldorf,30.69863014,2037,30,863,2.364383562,32.36438356
Carl Klaus,GK,Nürnberg,29.35616438,180,29,616,1.687671233,30.68767123
Christoph Klarer,DF,Düsseldorf,22.94794521,2544,22,795,2.178082192,24.17808219
Sebastian Klaas,MF,Paderborn 07,24.90410959,99,24,411,1.126027397,25.1260274
Sonny Kittel,FW,Hamburger SV,30.38356164,1958,30,356,0.975342466,30.97534247
Thorsten Kirschbaum,GK,Jahn R'burg,36.09863014,270,36,863,2.364383562,38.36438356
Mikkel Kirkeskov,DF,Holstein Kiel,31.72054795,1847,31,055,0.150684932,31.15068493
David Kinsombi,MF,Sandhausen,27.45205479,1992,27,205,0.561643836,27.56164384
Christian Kinsombi,MF,Sandhausen,23.75342466,1953,23,342,0.936986301,23.9369863
Niko Kijewski,DF,Braunschweig,27.16164384,772,27,164,0.449315068,27.44931507
Sebastian Kerk,MF,Hannover 96,29.10684932,526,29,685,1.876712329,30.87671233
Scott Kennedy,DF,Jahn R'burg,26.15342466,1099,26,342,0.936986301,26.9369863
Tobias Kempe,MF,Darmstadt 98,33.91232877,1914,33,233,0.638356164,33.63835616
Thomas Keller,DF,Heidenheim,23.80547945,29,23,548,1.501369863,24.50136986
Bryang Kayo,MF,Nürnberg,20.83013699,43,20,014,0.038356164,20.03835616
Mikkel Kaufmann,FW,Karlsruher,22.39178082,1550,22,178,0.487671233,22.48767123
Fabio Kaufmann,MF,Braunschweig,30.71232877,1836,30,233,0.638356164,30.63835616
Noah Katterbach,DF,Hamburger SV,22.11780822,531,22,781,2.139726027,24.13972603
Florian Kastenmeier,GK,Düsseldorf,25.90958904,2970,25,959,2.62739726,27.62739726
Emir Karic,MF,Darmstadt 98,25.96164384,1544,25,164,0.449315068,25.44931507
Michał Karbownik,DF,Düsseldorf,22.20273973,1772,22,274,0.750684932,22.75068493
Stefanos Kapino,GK,Arminia,29.1890411,450,29,904,2.476712329,31.47671233
Benjamin Kanuric,MF,Arminia,20.24383562,239,20,384,1.052054795,21.05205479
Julian Justvan,MF,Paderborn 07,25.14794521,2665,25,795,2.178082192,27.17808219
Sebastian Jung,DF,Karlsruher,32.9260274,1579,32,603,1.652054795,33.65205479
Gideon Jung,DF,Greuther Fürth,28.70136986,1037,28,137,0.375342466,28.37534247
Marco John,MF,Greuther Fürth,21.14794521,1985,21,795,2.178082192,23.17808219
Jermain,FW,Nürnberg,20.16712329,100,20,712,1.950684932,21.95068493
Leon Jensen,MF,Karlsruher,26.01917808,774,26,918,2.515068493,28.51506849
Bakery Jatta,FW,Hamburger SV,24.96986301,1796,24,986,2.701369863,26.70136986
Kilian Jakob,DF,Karlsruher,25.33150685,56,25,151,0.41369863,25.41369863
Frederik Jäkel,DF,Arminia,22.21917808,1467,22,918,2.515068493,24.51506849
Emmanuel Iyoha,MF,Düsseldorf,25.62191781,1793,25,192,0.526027397,25.5260274
Gian-Luca Itter,DF,Greuther Fürth,24.38630137,1304,24,863,2.364383562,26.36438356
Tatsuya Ito,FW,Magdeburg,25.91506849,1147,25,507,1.389041096,26.3890411
Thomas Isherwood,DF,Darmstadt 98,25.32328767,878,25,329,0.901369863,25.90136986
Jackson Irvine,MF,St. Pauli,30.21917808,2796,30,918,2.515068493,32.51506849
Svante Ingelsson,MF,Hansa Rostock,24.94794521,1632,24,795,2.178082192,26.17808219
Burak İnce,MF,Arminia,19.34520548,39,19,521,1.42739726,20.42739726
Luc Ihorst,FW,Braunschweig,23.21917808,315,23,918,2.515068493,25.51506849
Aleksandar Ignjovski,MF,Holstein Kiel,32.3260274,176,32,603,1.652054795,33.65205479
Blendi Idrizi,MF,Jahn R'burg,25.06575342,796,25,575,1.575342466,26.57534247
Mehmet Ibrahimi,FW,Braunschweig,20.29041096,16,20,041,0.112328767,20.11232877
Jannik Huth,GK,Paderborn 07,29.11232877,2617,29,233,0.638356164,29.63835616
Oliver Hüsing,DF,Arminia,30.26849315,1485,30,849,2.326027397,32.3260274
Uwe Hünemeier,DF,Paderborn 07,37.37534247,767,37,534,1.463013699,38.4630137
Bashir Humphreys,DF,Paderborn 07,20.19726027,1080,20,726,1.989041096,21.9890411
Florian Hübner,DF,Nürnberg,32.23561644,1351,32,562,1.539726027,33.53972603
Branimir Hrgota,MF,Greuther Fürth,30.36712329,2845,30,712,1.950684932,31.95068493
Jannes Horn,DF,Nürnberg,26.29863014,511,26,863,2.364383562,28.36438356
Mathias Honsak,FW,Darmstadt 98,26.43013699,717,26,014,0.038356164,26.03835616
Lewis Holtby,MF,Holstein Kiel,32.68493151,1631,32,493,1.350684932,33.35068493
Fabian Holland,MF,Darmstadt 98,32.8739726,2336,32,397,1.087671233,33.08767123
Immanuel Höhn,DF,Sandhausen,31.42191781,948,31,192,0.526027397,31.5260274
Marcel Hoffmeier,DF,Paderborn 07,23.8630137,2586,23,301,0.824657534,23.82465753
Ron-Thorben Hoffmann,GK,Braunschweig,24.14246575,920,24,247,0.676712329,24.67671233
André Hoffmann,DF,Düsseldorf,30.23835616,1839,30,836,2.290410959,32.29041096
Lukas Hinterseer,FW,Hansa Rostock,32.16164384,1196,32,164,0.449315068,32.44931507
Robin Himmelmann,GK,Holstein Kiel,34.30136986,770,34,137,0.375342466,34.37534247
Moritz Heyer,DF,Hamburger SV,28.14246575,2274,28,247,0.676712329,28.67671233
Jannis Heuer,DF,Paderborn 07,23.82465753,2081,23,466,1.276712329,24.27671233
Daniel Heuer Fernandes,GK,Hamburger SV,30.53150685,2880,30,151,0.41369863,30.41369863
Philipp Hercher,MF,Kaiserslautern,27.18082192,1093,27,082,0.224657534,27.22465753
Rouwen Hennings,FW,Düsseldorf,35.74246575,1220,35,247,0.676712329,35.67671233
Bryan Henning,MF,Braunschweig,28.19452055,1153,28,452,1.238356164,29.23835616
Jorrit Hendrix,MF,Düsseldorf,28.29863014,1233,28,863,2.364383562,30.36438356
Philip Heise,DF,Karlsruher,31.93150685,2603,31,151,0.41369863,31.41369863
Ogechika Heil,MF,Hamburger SV,22.49315068,19,22,315,0.863013699,22.8630137
Daniel Heber,DF,Magdeburg,28.89315068,1348,28,315,0.863013699,28.8630137
Marcel Hartel,MF,St. Pauli,27.34794521,2949,27,795,2.178082192,29.17808219
Daniel Hanslik,MF,Kaiserslautern,26.63561644,1081,26,562,1.539726027,27.53972603
Mohamed El Hankouri,DF,Magdeburg,25.90136986,2333,25,137,0.375342466,25.37534247
Tim Handwerker,DF,Nürnberg,25.01917808,237,25,918,2.515068493,27.51506849
Oussama Haddadi,DF,Greuther Fürth,31.32328767,2642,31,329,0.901369863,31.90136986
Robin Hack,MF,Arminia,24.74520548,2679,24,521,1.42739726,25.42739726
Jan Gyamerah,DF,Nürnberg,27.9369863,1746,27,699,1.915068493,28.91506849
Leon Guwara,DF,Jahn R'burg,26.90958904,1655,26,959,2.62739726,28.62739726
Lasse Günther,DF,Jahn R'burg,20.18082192,664,20,082,0.224657534,20.22465753
Sebastian Griesbeck,DF,Greuther Fürth,32.64383562,1986,32,384,1.052054795,33.05205479
Julian Green,MF,Greuther Fürth,27.96986301,1666,27,986,2.701369863,29.70136986
Minos Gouras,MF,Jahn R'burg,24.96712329,445,24,712,1.950684932,25.95068493
Daniel Gordon,DF,Karlsruher,38.35616438,606,38,616,1.687671233,39.68767123
Jérôme Gondorf,MF,Karlsruher,34.91506849,2796,34,507,1.389041096,35.3890411
Benjamin Goller,MF,Nürnberg,24.39726027,237,24,726,1.989041096,25.9890411
Silas Gnaka,DF,Magdeburg,24.43561644,2394,24,562,1.539726027,25.53972603
Robert Glatzel,FW,Hamburger SV,29.37808219,2908,29,808,2.21369863,31.21369863
Klaus Gjasula,DF,Darmstadt 98,33.44657534,906,33,658,1.802739726,34.80273973
Daniel Ginczek,FW,Düsseldorf,32.11780822,919,32,781,2.139726027,34.13972603
Benedikt Gimber,MF,Jahn R'burg,26.2630137,2169,26,301,0.824657534,26.82465753
Hamadi Al Ghaddioui,FW,Sandhausen,32.6739726,362,32,397,1.087671233,33.08767123
Marius Gersbeck,GK,Karlsruher,27.93150685,2700,27,151,0.41369863,27.41369863
Johannes Geis,MF,Nürnberg,29.77260274,1656,29,726,1.989041096,30.9890411
Andreas Geipl,MF,Heidenheim,31.09589041,253,31,589,1.61369863,32.61369863
Tom Geerkens,MF,Düsseldorf,22.63287671,16,22,288,0.789041096,22.7890411
Linus Gechter,DF,Braunschweig,19.24109589,367,19,411,1.126027397,20.1260274
Christian Gebauer,DF,Arminia,29.43013699,593,29,014,0.038356164,29.03835616
Nicolas Gavory,DF,Düsseldorf,28.27123288,1049,28,123,0.336986301,28.3369863
Joseph Ganda,MF,Sandhausen,26.2109589,305,26,096,0.263013699,26.2630137
Nils Fröling,MF,Hansa Rostock,23.09863014,870,23,863,2.364383562,25.36438356
Lukas Fröde,MF,Hansa Rostock,28.3369863,2582,28,699,1.915068493,29.91506849
Hólmbert Friðjónsson,FW,Holstein Kiel,30.10136986,386,30,137,0.375342466,30.37534247
Marcel Franke,DF,Karlsruher,30.13972603,2579,30,973,2.665753425,32.66575342
Raphael Framberger,DF,Sandhausen,27.71780822,333,27,781,2.139726027,29.13972603
Martin Fraisl,GK,Arminia,30.04383562,2520,30,384,1.052054795,31.05205479
Antonio Foti,FW,Hannover 96,19.55890411,170,19,589,1.61369863,20.61369863
Jonas Föhrenbach,DF,Heidenheim,27.32876712,2872,27,877,2.402739726,29.40273973
Sadik Fofana,MF,Nürnberg,20.02739726,610,20,274,0.750684932,20.75068493
Oliver Fobassam,DF,Greuther Fürth,20.1369863,279,20,699,1.915068493,21.91506849
Florian Flick,MF,Nürnberg,23.06849315,1318,23,849,2.326027397,25.3260274
Elione Fernandes Neto,MF,Düsseldorf,17.75616438,276,17,616,1.687671233,18.68767123
Jasmin Fejzić,GK,Braunschweig,37.03013699,2048,37,014,0.038356164,37.03835616
Betim Fazliji,DF,St. Pauli,24.08493151,571,24,493,1.350684932,25.35068493
Ömer Faruk Beyaz,MF,Magdeburg,19.73972603,52,19,973,2.665753425,21.66575342
Konrad Faber,DF,Jahn R'burg,25.55616438,1640,25,616,1.687671233,26.68767123
Franck Evina,FW,Sandhausen,22.89041096,403,22,041,0.112328767,22.11232877
Alexander Esswein,FW,Sandhausen,33.16986301,1908,33,986,2.701369863,35.70136986
Patrick Erras,MF,Holstein Kiel,28.34246575,2340,28,247,0.676712329,28.67671233
Sebastian Ernst,MF,Hannover 96,28.22739726,771,28,274,0.750684932,28.75068493
Keita Endo,MF,Braunschweig,25.50684932,831,25,685,1.876712329,26.87671233
Jan Elvedi,DF,Jahn R'burg,26.65205479,2786,26,205,0.561643836,26.56164384
Daniel Elfadli,MF,Magdeburg,26.1369863,1884,26,699,1.915068493,27.91506849
Kai Eisele,GK,Karlsruher,27.91780822,180,27,781,2.139726027,29.13972603
Johannes Eggestein,FW,St. Pauli,25.04931507,967,25,932,2.553424658,27.55342466
Adam Dźwigała,DF,St. Pauli,27.66575342,1189,27,575,1.575342466,28.57534247
Eldin Dzogovic,DF,Magdeburg,19.96438356,1,19,438,1.2,20.2
Erik Durm,DF,Kaiserslautern,31.03835616,1883,31,836,2.290410959,33.29041096
Taylan Duman,MF,Nürnberg,25.82191781,727,25,192,0.526027397,25.5260274
Haris Duljević,MF,Hansa Rostock,29.52328767,902,29,329,0.901369863,29.90136986
Jeremy Dudziak,MF,Greuther Fürth,27.74246575,271,27,247,0.676712329,27.67671233
Kwadwo Duah,FW,Nürnberg,26.24931507,2340,26,931,2.550684932,28.55068493
Rick van Drongelen,DF,Hansa Rostock,24.43013699,1837,24,014,0.038356164,24.03835616
Patrick Drewes,GK,Sandhausen,30.30410959,2610,30,411,1.126027397,31.1260274
Dennis Dressel,MF,Hansa Rostock,24.58082192,2724,24,082,0.224657534,24.22465753
Anton Donkor,MF,Braunschweig,25.5369863,2353,25,699,1.915068493,26.91506849
Lee Donggyeong,MF,Hansa Rostock,25.67945205,321,25,945,2.589041096,27.5890411
Jean-Luc Dompé,FW,Hamburger SV,27.78630137,1652,27,863,2.364383562,29.36438356
Benno Dietze,MF,Hansa Rostock,19.8630137,8,19,301,0.824657534,19.82465753
Maximilian Dietz,MF,Greuther Fürth,21.29041096,10,21,041,0.112328767,21.11232877
Dennis Diekmeier,DF,Sandhausen,33.59726027,925,33,726,1.989041096,34.9890411
Oumar Diakhite,DF,Sandhausen,29.46027397,111,29,027,0.073972603,29.0739726
Jasper van der Werff,DF,Paderborn 07,24.46027397,461,24,027,0.073972603,24.0739726
Johannes van den Bergh,DF,Holstein Kiel,36.50958904,154,36,959,2.62739726,38.62739726
Jannik Dehm,DF,Hannover 96,27.06575342,989,27,575,1.575342466,28.57534247
Saulo Decarli,DF,Braunschweig,31.30410959,1034,31,411,1.126027397,32.1260274
Jonas David,DF,Hamburger SV,23.21643836,1512,23,644,1.764383562,24.76438356
Lukas Daschner,FW,St. Pauli,24.64931507,2551,24,932,2.553424658,26.55342466
Thomas Dähne,GK,Holstein Kiel,29.3890411,1350,29,904,2.476712329,31.47671233
Christoph Daferner,FW,Nürnberg,25.36712329,1492,25,712,1.950684932,26.95068493
Lucas Cueto,MF,Karlsruher,27.17260274,512,27,726,1.989041096,28.9890411
Theo Corbeanu,FW,Arminia,21.02465753,178,21,466,1.276712329,22.27671233
Sirlord Conteh,FW,Paderborn 07,26.87945205,1752,26,945,2.589041096,28.5890411
Jomaine Consbruch,MF,Arminia,21.32876712,1201,21,877,2.402739726,23.40273973
Amara Conde,MF,Magdeburg,26.38356164,2120,26,356,0.975342466,26.97534247
Hikmet Ciftci,MF,Kaiserslautern,25.2109589,279,25,096,0.263013699,25.2630137
Max Christiansen,MF,Greuther Fürth,26.66575342,2667,26,575,1.575342466,27.57534247
Ekin Celebi,DF,Hannover 96,22.96986301,3,22,986,2.701369863,24.70136986
Jason Ceka,FW,Magdeburg,23.53972603,1456,23,973,2.665753425,25.66575342
Jens Castrop,MF,Nürnberg,19.82465753,1935,19,466,1.276712329,20.27671233
Luc Castaignos,FW,Magdeburg,30.66027397,373,30,027,0.073972603,30.0739726
Jonas Carls,DF,Paderborn 07,26.16986301,161,26,986,2.701369863,28.70136986
Kaan Caliskaner,MF,Jahn R'burg,23.55890411,1679,23,589,1.61369863,24.61369863
Kerim Calhanoglu,DF,Sandhausen,20.74794521,488,20,795,2.178082192,22.17808219
Malcolm Cacutalua,DF,Magdeburg,28.5260274,84,28,603,1.652054795,29.65205479
Marnon Busch,DF,Heidenheim,28.4630137,2553,28,301,0.824657534,28.82465753
Dženis Burnić,MF,Heidenheim,25.0109589,530,25,096,0.263013699,25.2630137
Lars Bünning,DF,Kaiserslautern,25.24109589,126,25,411,1.126027397,26.1260274
Daniel Bunk,MF,Düsseldorf,19.16986301,1,19,986,2.701369863,21.70136986
Alexander Brunst,GK,Darmstadt 98,27.88493151,135,27,493,1.350684932,28.35068493
Kai Brünker,FW,Magdeburg,28.95890411,534,28,589,1.61369863,29.61369863
Nathaniel Brown,DF,Nürnberg,19.94246575,640,19,247,0.676712329,19.67671233
Daniel Brosinski,DF,Karlsruher,34.85753425,381,34,753,2.063013699,36.0630137
Louis Breunig,MF,Nürnberg,19.52876712,28,19,877,2.402739726,21.40273973
Steve Breitkreuz,DF,Jahn R'burg,31.35068493,1617,31,068,0.18630137,31.18630137
Tim Breithaupt,MF,Karlsruher,21.29589041,1780,21,589,1.61369863,22.61369863
Pascal Breier,FW,Hansa Rostock,31.30958904,97,31,959,2.62739726,33.62739726
Terrence Boyd,FW,Kaiserslautern,32.27123288,2482,32,123,0.336986301,32.3369863
Carlo Boukhalfa,MF,St. Pauli,24.0630137,189,24,301,0.824657534,24.82465753
Tim Boss,GK,Magdeburg,29.90958904,270,29,959,2.62739726,31.62739726
Julian Börner,DF,Hannover 96,32.34246575,2169,32,247,0.676712329,32.67671233
Robin Bormuth,DF,Kaiserslautern,27.68219178,1611,27,219,0.6,27.6
Tarsis Bonga,FW,Braunschweig,26.37260274,323,26,726,1.989041096,27.9890411
Luca Bolay,DF,Karlsruher,20.83561644,2,20,562,1.539726027,21.53972603
Adam Bodzek,DF,Düsseldorf,37.71506849,24,37,507,1.389041096,38.3890411
Benjamin Böckle,DF,Düsseldorf,20.93972603,21,20,973,2.665753425,22.66575342
Herbert Bockhorn,DF,Magdeburg,28.31506849,1959,28,507,1.389041096,29.3890411
Danny Blum,FW,Nürnberg,32.38082192,27,32,082,0.224657534,32.22465753
Alexander Bittroff,DF,Magdeburg,34.68219178,734,34,219,0.6,34.6
Filip Bilbija,MF,Hamburger SV,23.08767123,73,23,767,2.101369863,25.10136986
Max Besuschkow,MF,Hannover 96,25.98630137,1986,25,863,2.364383562,27.36438356
Jan-Niklas Beste,MF,Heidenheim,24.3890411,2671,24,904,2.476712329,26.47671233
Keanan Bennetts,MF,Darmstadt 98,24.21369863,238,24,137,0.375342466,24.37534247
Filip Benković,DF,Braunschweig,25.86849315,1576,25,849,2.326027397,27.3260274
László Bénes,MF,Hamburger SV,25.70958904,1771,25,959,2.62739726,27.62739726
Yassin Ben Balla,MF,Darmstadt 98,27.24931507,153,27,931,2.550684932,29.55068493
George Bello,MF,Arminia,21.33972603,737,21,973,2.665753425,23.66575342
Leon Bell Bell,DF,Magdeburg,26.71780822,1834,26,781,2.139726027,28.13972603
Marcel Beifus,DF,St. Pauli,20.57808219,236,20,808,2.21369863,22.21369863
Maximilian Beier,FW,Hannover 96,20.60547945,2123,20,548,1.501369863,21.50136986
Brian Behrendt,DF,Braunschweig,31.58630137,1236,31,863,2.364383562,33.36438356
Timo Becker,DF,Holstein Kiel,26.16986301,1932,26,986,2.701369863,28.70136986
Adrian Beck,MF,Heidenheim,25.96164384,1173,25,164,0.449315068,25.44931507
Malik Batmaz,FW,Karlsruher,23.19178082,827,23,178,0.487671233,23.48767123
Aaron Basenach,MF,Kaiserslautern,20.28493151,17,20,493,1.350684932,21.35068493
Fin Bartels,MF,Holstein Kiel,36.29589041,810,36,589,1.61369863,37.61369863
Jacob Barrett Laursen,MF,Arminia,28.52054795,71,28,055,0.150684932,28.15068493
Florian Ballas,DF,Karlsruher,30.37808219,96,30,808,2.21369863,32.21369863
Matthias Bader,MF,Darmstadt 98,25.93972603,2199,25,973,2.665753425,27.66575342
Janik Bachmann,MF,Sandhausen,27.05479452,2296,27,479,1.312328767,28.31232877
Kwadwo Baah,FW,Düsseldorf,20.3260274,67,20,603,1.652054795,21.65205479
Barış Atik,FW,Magdeburg,28.37534247,2219,28,534,1.463013699,29.4630137
Simon Asta,DF,Greuther Fürth,22.33150685,2071,22,151,0.41369863,22.41369863
Bright Arrey-Mbi,DF,Hannover 96,20.16712329,1093,20,712,1.950684932,21.95068493
Jann-Fiete Arp,FW,Holstein Kiel,23.38356164,871,23,356,0.975342466,23.97534247
Kelvin Arase,FW,Karlsruher,24.35890411,231,24,589,1.61369863,25.61369863
Shinta Appelkamp,MF,Düsseldorf,22.56438356,2049,22,438,1.2,23.2
Devin Angleberger,MF,Greuther Fürth,20.22465753,1,20,466,1.276712329,21.27671233
Bent Andresen,DF,Hamburger SV,20.38082192,1,20,082,0.224657534,20.22465753
Andrés Andrade Cedeño,DF,Arminia,24.60821918,2016,24,822,2.252054795,26.25205479
Frederic Ananou,DF,Hansa Rostock,25.67945205,1239,25,945,2.589041096,27.5890411
Etienne Amenyido,FW,St. Pauli,25.23561644,752,25,562,1.539726027,26.53972603
Stephan Ambrosius,DF,Karlsruher,24.43561644,1377,24,562,1.539726027,25.53972603
Xavier Amaechi,MF,Hamburger SV,22.38630137,127,22,863,2.364383562,24.36438356
Andreas Albers,FW,Jahn R'burg,33.17534247,2267,33,534,1.463013699,34.4630137
Oladapo Afolayan,FW,St. Pauli,25.28219178,1215,25,219,0.6,25.6
Aremu Afeez,MF,St. Pauli,23.64383562,746,23,384,1.052054795,24.05205479
Kemal Ademi,FW,Sandhausen,27.3369863,588,27,699,1.915068493,28.91506849
Ragnar Ache,FW,Greuther Fürth,24.82739726,1837,24,274,0.750684932,24.75068493
Dickson Abiama,FW,Greuther Fürth,24.55890411,1177,24,589,1.61369863,25.61369863
